,Attraction Name,Description,Category,Estimated Budget,Min_Budget,Max_Budget,Sentiment_Score,State
464,Patratu Valley,Escape to the picturesque Patratu Valley surrounded by verdant hills and offering opportunities for trekking camping and adventure amidst pristine landscapes.,Valley,100 - 500 rupees / per person,100,500.0,0.802,Jharkhand
465,Dassam Falls,Witness the majestic Dassam Falls plunging from a height of 44 meters into the Kanchi River creating a mesmerizing spectacle amidst scenic landscapes.,Waterfall,50 - 200 rupees / per person,50,200.0,0.296,Jharkhand
466,McCluskieganj,Explore the quaint Anglo-Indian town of McCluskieganj known for its colonial charm heritage bungalows and serene ambiance offering a nostalgic journey back in time.,Historical Town,100 - 300 rupees / per person,100,300.0,0.6908,Jharkhand
467,Hazaribagh National Park,Embark on a wildlife safari at Hazaribagh National Park home to diverse flora and fauna including tigers leopards and rare bird species amidst scenic landscapes.,Wildlife Sanctuary,200 - 500 rupees / per person,200,500.0,0.0,Jharkhand
468,Netarhat,Escape to the hill station of Netarhat offering breathtaking views of the sunset dense forests and rolling hills providing a tranquil retreat for nature lovers and adventure enthusiasts.,Hill Station,100 - 300 rupees / per person,100,300.0,0.9153,Jharkhand
469,Jubilee Park,Stroll through the expansive Jubilee Park in Jamshedpur adorned with colorful flower beds fountains and recreational facilities providing a rejuvenating experience for visitors of all ages.,Urban Park,Free entry,0,0.0,0.2023,Jharkhand
470,Dalma Wildlife Sanctuary,Discover the rich biodiversity of Dalma Wildlife Sanctuary home to elephants deer and various bird species offering trekking trails and opportunities for wildlife observation.,Wildlife Sanctuary,100 - 300 rupees / per person,100,300.0,0.7351,Jharkhand
471,Deoghar,Visit the holy city of Deoghar renowned for its Baidyanath Jyotirlinga Temple and spiritual significance attracting pilgrims and devotees seeking blessings and divine grace.,Religious Site,Free entry,0,0.0,0.9393,Jharkhand
472,Tagore Hill,Ascend Tagore Hill named after the renowned poet Rabindranath Tagore and enjoy panoramic views of Ranchi city from the hilltop offering a serene ambiance for meditation and relaxation.,Hill Station,Free entry,0,0.0,0.8625,Jharkhand
473,Panchet Dam,Marvel at the engineering marvel of Panchet Dam spanning across the Damodar River and offering scenic vistas boating facilities and opportunities for picnics amidst tranquil surroundings.,Dam,Free entry,0,0.0,0.8126,Jharkhand
474,Betla National Park,Explore the wilderness of Betla National Park one of the oldest national parks in India housing diverse flora and fauna including tigers elephants and sloth bears amidst dense forests.,Wildlife Sanctuary,200 - 500 rupees / per person,200,500.0,0.0,Jharkhand
475,Birsa Zoological Park,Embark on a wildlife journey at Birsa Zoological Park home to a variety of animal species including big cats primates and reptiles offering educational experiences and conservation efforts.,Zoo,50 - 200 rupees / per person,50,200.0,0.0,Jharkhand
476,Hathi Pahar,Unwind amidst natural beauty at Hathi Pahar or Elephant Hill named after its elephant-shaped rock formations offering panoramic views of the surrounding landscape and opportunities for hiking.,Hill Station,Free entry,0,0.0,0.836,Jharkhand
477,Topchanchi Lake,Relax by the serene waters of Topchanchi Lake surrounded by lush greenery and offering boating facilities picnicking spots and breathtaking views of the landscape.,Natural Lake,50 - 200 rupees / per person,50,200.0,0.836,Jharkhand
478,Sun Temple,Marvel at the architectural splendor of the Sun Temple in Ranchidedicated to the Sun God and adorned with intricate carvings and sculptures offering a serene ambiance for prayer and meditation.,Religious Site,Free entry,0,0.0,0.9231,Jharkhand
479,Pahari Mandir,Ascend Pahari Mandir or Hill Temple dedicated to Lord Shiva and enjoy panoramic views of Ranchi city from the hilltop offering a serene ambiance for spiritual seekers and nature lovers.,Religious Site,Free enty,0,0.0,0.9118,Jharkhand
480,Nakshatra Van,Explore the celestial world at Nakshatra Van a unique park featuring themed gardens representing the 27 constellations of the zodiac offering a blend of astronomy and botany.,Park,Free entry,0,0.0,0.0,Jharkhand
481,Tilaiya Dam,Admire the scenic beauty of Tilaiya Dam spanning across the Barakar River and surrounded by picturesque landscapes offering boating fishing and leisurely picnics for visitors.,Dam,Free entry,0,0.0,0.8591,Jharkhand
482,Panch Gagh Falls,Discover the beauty of Panch Gagh Falls cascading from a height of 10 meters amidst lush greenery and rocky terrain providing a refreshing retreat for nature lovers and photographers.,Waterfall,50 - 200 rupees / per person,50,200.0,0.8402,Jharkhand
483,Birsa Munda Tribal University Museum,Explore the cultural heritage of Jharkhand's tribal communities at Birsa Munda Tribal University Museum showcasing artifacts handicrafts and traditional artworks.,Cultural Museum,20 - 50 rupees / per person,20,50.0,0.0,Jharkhand
484,Rock Paintings of Isko,Unravel the ancient history of Jharkhand at the Rock Paintings of Isko depicting prehistoric art and civilization dating back thousands of years offering insights into early human life.,Historical Landmark,Free entry,0,0.0,0.0,Jharkhand
485,Nandan Pahar,Escape to Nandan Pahar a scenic hill offering panoramic views of the surroundings adorned with temples gardens and amusement rides providing entertainment for families and tourists.,Hill Station,Free entry,0,0.0,0.7783,Jharkhand
486,Baba Baidyanath Dham,Pay homage to Lord Shiva at Baba Baidyanath Dham one of the 12 Jyotirlingas attracting pilgrims and devotees from far and wide for its religious significance and divine blessings.,Religious Site,Free entry,0,0.0,0.9081,Jharkhand
487,Panchghagh Falls,Experience the beauty of Panchghagh Falls a scenic cascade formed by the convergence of five streams offering a tranquil ambiance for nature lovers and photographers.,Waterfall,50 - 200 rupees / per person,50,200.0,0.8126,Jharkhand
488,Hundru Waterfall,Marvel at the majestic Hundru Waterfall cascading from a height of 98 meters amidst dense forests and rocky cliffs providing a refreshing retreat for adventure seekers and nature enthusiasts.,Waterfall,50 - 200 rupees / per person,50,200.0,0.8074,Jharkhand
489,Tata Steel Zoological Park,Explore the biodiversity of Tata Steel Zoological Park home to a variety of animal species including big cats primates and exotic birds offering educational experiences and wildlife conservation efforts.,Zoo,50 - 200 rupees / per person,50,200.0,0.0,Jharkhand
490,Jagannathpur Temple,Pay homage to Lord Jagannath at Jagannathpur Temple a replica of the famous Jagannath Temple in Puri adorned with intricate architecture and religious rituals attracting devotees and tourists alike.,Religious Site,Free entry,0,0.0,0.6808,Jharkhand
491,Betla Fort,Step into history at Betla Fort a medieval fortress dating back to the Chero dynasty offering insights into the region's rich heritage and architectural splendor amidst scenic surroundings.,Historical Fort,Free entry,0,0.0,0.8225,Jharkhand
492,Ranchi Science Centre,Engage in interactive learning experiences at Ranchi Science Centre featuring exhibits and demonstrations on various scientific principles and phenomena suitable for visitors of all ages.,Science Museum,50 - 100 rupees / per person,50,100.0,0.34,Jharkhand
493,Sunrise Point,Witness the stunning sunrise views from Sunrise Point offering panoramic vistas of the surrounding hills and valleys providing a serene start to the day for nature lovers and photographers.,Scenic Viewpoint,Free entry,0,0.0,0.8402,Jharkhand
494,Ranchi Municipal Corporation Lake,Enjoy leisurely boat rides and tranquil walks along the Ranchi Municipal Corporation Lake surrounded by lush greenery and offering a peaceful retreat amidst urban landscapes.,Urban Lake,20 - 100 rupees / per person,20,100.0,0.8126,Jharkhand
495,Deer Park,Discover the beauty of Deer Park home to a variety of deer species amidst natural landscapes and walking trails providing a serene ambiance for wildlife enthusiasts and nature lovers.,Wildlife Park,Free entry,0,0.0,0.9337,Jharkhand
496,Nakodagiri Temple,Seek blessings at Nakodagiri Temple dedicated to Goddess Kali and nestled amidst scenic surroundings attracting devotees and spiritual seekers for its religious significance and divine aura.,Religious Site,Free entry,0,0.0,0.9413,Jharkhand
497,Chandil Dam,Marvel at the engineering marvel of Chandil Dam spanning across the Subarnarekha River and offering scenic vistas boating facilitie and opportunities for picnics amidst serene surroundings.,Dam,Free entry,0,0.0,0.8807,Jharkhand
498,Jubilee Lake,Relax by the tranquil waters of Jubilee Lake in Jamshedpur offering boating facilities lakeside promenades and lush greenery providing a rejuvenating escape for visitors.,Urban Lake,20 - 100 rupees / per person,20,100.0,0.5859,Jharkhand
499,Jamshedpur Zoological Park,Explore the diverse flora and fauna of Jamshedpur Zoological Park home to a variety of animal species including big cats primates and reptiles offering educational experiences and wildlife conservation efforts.,Zoo,50 - 200 rupees / per person,50,200.0,0.0,Jharkhand
500,Patratu Valley Resort,Indulge in luxury and tranquility at Patratu Valley Resort nestled amidst scenic landscapes and offering comfortable accommodations adventure activities and rejuvenating spa treatments.,Resort,500 - 2000 rupees / per person per night,500,2000.0,0.8126,Jharkhand
501,Dasam Falls Picnic Spot,Enjoy a day of fun and relaxation at Dasam Falls Picnic Spot offering scenic views swimming opportunities and picnic facilities amidst natural landscapes and cascading waterfalls.,Picnic Spot,50 - 200 rupees / per person,50,200.0,0.9325,Jharkhand
502,Sunset Point,Experience the mesmerizing sunset views from Sunset Point in Netarhat offering panoramic vistas of the surrounding hills and valleys providing a serene and romantic ambiance for couples and nature enthusiasts.,Scenic Viewpoint,Free entry,0,0.0,0.7964,Jharkhand
503,Bokaro Steel City Park,Unwind amidst greenery and tranquility at Bokaro Steel City Park offering walking trails children's play areas and serene spots for relaxation amidst urban landscapes.,Urban Park,Free entry,0,0.0,0.891,Jharkhand
504,Hazaribagh Lake,Indulge in boating and birdwatching at Hazaribagh Lake surrounded by lush greenery and offering a serene retreat for nature lovers and wildlife enthusiasts alike.,Natural Lake,20 - 100 rupees / per person,20,100.0,0.8625,Jharkhand
505,Maithon Dam,Marvel at the scenic beauty of Maithon Dam a popular tourist spot offering boating fishing and water sports facilities amidst breathtaking views of the Damodar River and surrounding hills.,Dam,Free entry,0,0.0,0.9081,Jharkhand
506,Jagannath Temple,Pay homage to Lord Jagannath at Jagannath Temple in Daltonganj known for its architectural grandeur and religious significance attracting devotees and tourists from far and wide.,Religious Site,Free entry,0,0.0,0.8271,Jharkhand
507,Sita Falls,Explore the enchanting Sita Falls nestled amidst dense forests and rocky terrain offering a serene ambiance for nature lovers and photographers to unwind and explore.,Waterfall,50 - 200 rupees / per person,50,200.0,0.7506,Jharkhand
508,Birsa Zoological Park and Safari,Embark on a wildlife safari at Birsa Zoological Park home to a variety of animal species including tigers leopards and elephants offering thrilling encounters amidst natural habitats.,Zoo,50 - 200 rupees / per person,50,200.0,0.6808,Jharkhand
509,Baba Baidyanath Temple,Seek blessings at Baba Baidyanath Temple in Deoghar dedicated to Lord Shiva and revered for its spiritual significance and divine aura attracting pilgrims and devotees throughout the year.,Religious Site,Free entry,0,0.0,0.959,Jharkhand
510,Dewri Mandir,Visit Dewri Mandiran ancient temple dedicated to Goddess Durga known for its architectural beauty and religious rituals offering a tranquil ambiance for prayer and meditation amidst natural surroundings.,Religious Site,Free entry,0,0.0,0.8591,Jharkhand
511,Dimna Lake,Indulge in water sports and leisure activities at Dimna Lake surrounded by scenic landscapes and offering boating kayaking and lakeside picnics for visitors of all ages to enjoy.,Natural Lake,50 - 200 rupees / per person,50,200.0,0.4939,Jharkhand
512,Jagannathpur Temple,Pay homage to Lord Jagannath at Jagannathpur Temple in Ranchi a replica of the famous Jagannath Temple in Puri known for its architectural grandeur and religious significance.,Religious Site,Free entry,0,0.0,0.6249,Jharkhand
513,Parasnath Hill,Embark on a pilgrimage to Parasnath Hill the highest peak in Jharkhand revered by Jains for its 20 temples dedicated to Tirthankaras offering scenic views and spiritual solace for visitors.,Religious Site,Free entry,0,0.0,0.743,Jharkhand
